mean_incubation,std_incubation,percent,prior_size,true_size,date_until,max_time_span,num_infer_incubation,mode_add_size,add_size_50,add_size_2_5,add_size_97_5,mean_incubation_50,mean_incubation_2_5,mean_incubation_97_5,std_incubation_50,std_incubation_2_5,std_incubation_97_5
7.96339678,2.60109522,0.229797442,50,30,7.77703210706922,18,7,6,5.76151682225101,1.09258077731801,17.2967885525129,7.9373121254095,7.20486127444403,8.70788918576095,2.86108401424764,2.38167536455548,3.43367831412343
7.6443379,4.49240931,0.0685407925,50,30,4.45354925210482,25,3,8,33.0373373064207,7.16089491802497,157.311807960119,8.38177262481654,7.27893540929075,9.68957106447812,3.74748783515139,2.35041506458743,5.56470154026849
5.16453274,3.21858344,0.138190893,50,30,2.25994332791778,24,5,32,70.3431950342636,18.5987637501122,183.297569061969,5.21682798804257,4.16000340042132,6.12379713781184,2.84004686706101,1.2226997717795,3.90704837642882
6.50880675,2.42952581,0.409176685,50,30,7.44330739414585,21,13,8,8.16190107878577,2.13459748517439,18.5250677076265,7.36564204612497,6.52645460973597,8.13096871294305,3.01809438803586,2.32468551677477,3.72452692081278
6.66050955,2.78256608,0.568646524,50,30,11.7207286032621,26,18,1,1.23089726717846,0.0712535906142271,4.50066243361588,6.71791181126578,5.9707956733344,7.23963195178593,3.15625608339747,2.55450113585656,3.73668683122916
5.49858314,4.86020787,0.598045985,50,30,8.95941483371007,21,18,2,2.70749505600559,0.184440452965458,9.16945855998734,5.50621757378196,4.66616609603164,6.43426413278964,4.35496145765222,3.11601788192441,5.6982308416579
6.00331588,2.61475562,0.839334683,50,30,16.0180424233084,30,26,1,0.720024170199662,0.0495844571938574,1.76848514771887,6.43996933945306,5.83227452252936,7.04914021682859,2.75575464191214,2.32794568715716,3.2878471783634
6.10705464,4.58676816,0.268931869,50,30,4.78494973695585,36,9,8,12.27445315187,3.43602460638605,32.6505156431455,6.21083108829745,5.298434796879,7.42780590220007,4.00184800359139,2.5878309791073,5.5488534645013
6.42506391,2.13963279,0.671620132,50,30,13.5977777054522,22,21,1,0.605307447491889,0.020102832343775,2.23549580524427,6.90112017168838,6.45495353825038,7.30306461514972,2.59342464657013,2.29107157067088,2.9655431326862
7.34876667,3.35147765,0.185929357,50,30,4.98084398038426,34,6,12,14.4677219437183,3.35778427969493,37.9309836722519,6.67134595465015,5.96421116605967,7.3574168017799,2.75045356964433,2.2167813167432,3.40340677096428
7.10073183,4.77157939,0.415084113,50,30,7.42249547842416,27,13,8,8.55211739415841,2.07452136853693,18.0427836244547,7.35253288168865,6.48516412945961,8.35496928858486,4.00327565673014,3.06258211763831,5.05606112716941
5.15043384,3.35519496,0.400902147,50,30,6.42942383099728,36,13,4,7.36525976795601,1.30025799989362,17.3567863358741,6.03192338395244,5.20085814949753,6.81972406562449,2.79800312787864,1.86485206800055,3.71106814852941
6.78005415,2.31124988,0.57972164,50,30,10.6176333511882,35,18,1,0.795639459722203,0.0306691337029473,2.93953671702722,6.85362448809472,6.4028025688595,7.2509887522832,1.94105489951202,1.67946712230772,2.28183007615548
7.7336247,3.45770761,0.338558612,50,30,8.26669492432344,33,11,7,5.64761217755779,0.73890271764787,14.2070390664815,7.85820942526411,7.22766144438951,8.6058847774327,2.73303095746735,2.04740394293049,3.38323030612993
7.0664235,3.93501074,0.629643227,50,30,10.2355600155557,39,19,4,3.72034696245932,0.283029930505479,9.56673804505806,7.83870806654454,7.03106847147197,8.55599581709203,3.03824268501812,2.20663822227773,3.94692936164245
6.80883239,2.11388468,0.141376785,50,30,5.28245445447918,25,5,10,19.8146737422742,5.29437062769248,61.4288274353366,7.02455800187803,6.32522281593832,7.76207798168409,2.25747567100748,1.75210321961884,2.78613364824652
6.87318725,2.70160272,0.735301111,50,30,13.0353127311684,26,23,1,0.83012537802057,0.0312368307684012,3.73863131547946,7.34496612256953,6.81308380715586,7.96758542614747,2.6056173450487,2.27202317081114,2.9887369943733
6.9678548,3.45168937,0.38368573,50,30,7.32898866291111,24,12,3,3.33308238988708,0.176208364052034,11.0466332281681,6.11012819458098,5.53704200112535,6.84756032141098,2.4080680486271,1.61747587241272,3.33869441251725
6.79293232,2.40671519,0.819281343,50,30,12.4313792916374,17,25,1,1.14020983740402,0.06723075606061,4.41146041825062,7.47903306374868,6.91486149816509,8.02867643699942,2.58809389461254,2.23309526840497,3.13719491264261
7.13121608,4.68463751,0.121706754,50,30,6.03424643560264,48,4,4,5.91686444411612,0.610464569005764,23.466219590304,7.51524907021686,6.47255750363411,8.55350272910276,3.70125383720186,2.54103187979034,4.91353638730167
5.03647546,2.20810008,0.293214612,50,30,6.05550003623952,37,9,4,3.66288066657764,0.273031244521904,10.6185185132241,5.40779323462407,4.84454060167583,6.03873023685363,2.418153595946,2.00164257090975,2.98212941491296
6.5242667,3.60285291,0.226433741,50,30,4.93797235082623,36,7,8,12.6150078743451,3.09046887091828,32.0402248992901,6.40193292221259,5.52415998925857,7.32350142496121,3.04609251811318,2.29254684636507,3.89250836076236
7.21693655,2.25882945,0.188661968,50,30,6.32896112072318,45,6,11,14.5762306449115,3.82718800022112,34.5845916188474,7.63991614965739,7.07425785563412,8.11262745370806,2.2093271928517,1.78653407176537,2.64600642743761
